"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.044975","0.142225","7.915693643062976","1","106.0","106.0","106.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04497792519330978","0.14219277801513672","7.446431021128564","1","122.0","122.0","122.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04498084173202514","0.14216056518554687","6.976404730199795","1","122.0","122.0","122.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04498375011682511","0.14212836151123046","6.505619966259171","1","122.0","122.0","122.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04498665084838867","0.1420961669921875","6.034081882075732","1","122.0","122.0","122.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04498954442739486","0.14206398162841796","5.561795431674509","1","122.0","122.0","122.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04499243135452271","0.14203180541992189","5.088765513548418","1","122.0","122.0","122.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.0449953121304512","0.1419996383666992","4.614997275744307","1","122.0","122.0","122.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04499818725585937","0.14196748046875","4.1404954668809815","1","122.0","122.0","122.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04500105723142624","0.14193533172607423","3.6652650663197197","1","105.0","105.0","105.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04500392255783081","0.14190319213867186","3.1893110309179686","1","105.0","105.0","105.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.0450067837357521","0.14187106170654296","2.71263816334011","1","107.0","107.0","107.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04500964126586914","0.1418389404296875","2.2352512135362606","1","107.0","107.0","107.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04501249564886093","0.14180682830810548","1.757155204280626","1","107.0","107.0","107.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.04501534738540649","0.1417747253417969","1.2783548226109476","1","107.0","107.0","107.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.045018196976184845","0.14174263153076172","0.7988549927030352","1","107.0","107.0","107.0"
"CURVE 2","0.16909700178595932","40.01018243674096","24.35514434928106","0.045021044921874996","0.141710546875","0.3186606479703788","1","107.0","107.0","107.0"
